Employee_ID,Tasks_Assigned,Tasks_Completed,Avg_TAT_Hours,Error_Rate,Quality_Score,Escalations,Rework_Count,Experience_Years,Team,Shift,SLA_Status
EMP_567,96,96,4.88,5.64,90.37,0,13,9.3,Moderation,Night,Met
EMP_4270,166,166,8.94,3.27,87.69,7,1,8.2,QA,Night,Breached
EMP_4291,119,119,6.79,1.89,96.32,1,13,5.9,Ads,Night,Met
EMP_1682,86,86,8.94,13.38,63.9,1,7,2.1,Ads,Day,Breached
EMP_6474,161,161,4.27,4.14,76.62,7,1,9.6,Ads,Night,Met
EMP_4195,172,152,2.41,1.17,91.82,1,7,6.4,Moderation,Day,Met
EMP_8517,118,118,,,,6,2,2.1,Support,Day,Met
EMP_8843,81,81,6.63,4.43,60.6,0,7,4.0,Support,Day,Breached
EMP_6066,197,190,,,,4,7,4.7,QA,Night,Breached
EMP_3368,156,118,7.71,0.95,79.66,5,3,5.5,QA,Night,Breached
EMP_5929,83,83,,,,4,8,0.6,Support,Day,Breached
EMP_9372,95,95,4.57,4.0,77.86,2,9,1.7,Ads,Day,Met
EMP_8911,135,135,,,,4,4,4.4,Moderation,Day,Breached
EMP_4571,184,137,6.8,9.49,92.03,6,0,6.2,Ads,Night,Breached
EMP_7285,150,105,3.64,3.42,95.52,8,14,2.0,Support,Day,Breached
EMP_1480,176,83,5.52,10.9,75.94,4,0,1.1,Support,Day,Breached
EMP_7496,100,77,,,,9,8,2.7,Support,Day,Met
EMP_7263,95,95,2.41,13.07,73.94,4,5,8.2,Moderation,Night,Breached
EMP_7933,86,86,8.86,12.73,84.2,4,14,1.1,QA,Night,Breached
EMP_4017,129,129,6.96,4.37,77.24,2,8,9.5,QA,Night,Met
EMP_7891,102,72,5.49,12.07,89.0,3,2,3.8,Support,Day,Breached
EMP_2724,183,160,6.02,7.17,74.35,0,12,1.9,Support,Day,Met
EMP_600,142,142,7.23,0.91,61.56,3,10,1.6,QA,Night,Breached
EMP_1904,164,164,6.14,0.53,64.78,8,0,3.2,QA,Day,Breached
EMP_3169,174,174,8.49,7.85,93.6,2,9,1.3,Support,Day,Breached
EMP_7638,133,133,6.1,2.04,65.99,5,13,2.3,Support,Day,Breached
EMP_8680,108,108,7.52,14.12,86.05,8,8,1.7,QA,Day,Breached
EMP_3834,140,75,7.02,1.41,61.89,3,12,7.9,Ads,Night,Breached
EMP_3605,100,100,4.39,6.06,79.03,3,3,9.7,Ads,Night,Met
EMP_324,112,112,7.97,0.62,87.62,5,5,2.8,Support,Night,Breached
EMP_782,121,121,5.6,7.24,91.6,3,3,3.0,Ads,Night,Met
EMP_1849,82,82,4.37,0.63,96.7,9,14,2.3,Ads,Day,Breached
EMP_8260,115,115,5.6,4.75,95.28,8,0,3.2,Moderation,Night,Met
EMP_2129,124,124,7.25,0.65,80.73,6,8,5.5,QA,Day,Breached
EMP_7216,96,74,2.33,3.09,94.88,4,12,3.4,Ads,Night,Met
EMP_396,100,100,3.31,14.75,79.99,2,7,2.9,Moderation,Night,Breached
EMP_6722,127,127,,,,3,5,6.5,QA,Night,Breached
EMP_2955,112,61,3.96,10.09,79.08,4,3,7.4,Support,Day,Breached
EMP_7705,94,94,,,,5,11,8.0,Ads,Day,Met
EMP_4910,162,139,5.82,9.73,76.29,5,2,9.7,Moderation,Day,Met
EMP_1253,174,129,7.1,10.06,78.94,1,6,10.0,Support,Night,Breached
EMP_1466,85,85,8.48,12.04,65.65,8,11,5.2,Ads,Night,Breached
EMP_5446,141,141,2.5,0.86,75.21,6,6,7.2,QA,Night,Met
EMP_7519,166,166,3.06,0.71,68.0,5,14,2.1,Support,Day,Breached
EMP_659,111,111,2.12,1.06,71.65,5,12,4.0,Moderation,Day,Met
EMP_7870,92,92,,,,6,0,1.2,Support,Day,Met
EMP_727,103,103,,,,8,5,5.1,Support,Night,Breached
EMP_1906,86,86,3.05,14.83,68.96,1,4,3.1,Moderation,Night,Breached
EMP_3095,155,155,5.36,6.18,71.09,6,8,5.9,QA,Night,Breached
EMP_4772,154,86,5.19,12.03,98.92,3,12,0.9,QA,Day,Breached
EMP_2080,181,60,7.53,10.36,72.83,5,9,2.3,Moderation,Night,Breached
EMP_7976,136,89,3.73,7.75,66.71,4,10,7.3,Moderation,Day,Breached
EMP_5446,141,141,2.5,0.86,75.21,6,6,7.2,QA,Night,Met
EMP_3456,138,138,,,,8,4,7.5,Support,Day,Breached
EMP_8775,158,135,,,,2,6,7.6,Support,Night,Met
EMP_2810,88,88,3.01,0.34,96.37,8,1,5.4,Support,Night,Met
EMP_6686,92,92,8.09,5.41,61.66,6,11,2.4,Ads,Night,Breached
EMP_7060,94,94,,,,3,13,6.3,QA,Night,Met
EMP_1696,148,78,4.73,14.14,78.38,4,0,6.8,Ads,Day,Breached
EMP_620,189,82,7.82,3.03,86.26,7,11,3.2,Moderation,Night,Breached
EMP_2159,132,80,2.0,2.89,70.23,8,7,8.5,Support,Day,Breached
EMP_7476,180,180,7.53,1.61,79.52,2,5,7.3,Support,Day,Breached
EMP_3057,185,65,2.45,5.43,97.77,8,4,7.2,QA,Day,Breached
EMP_2462,85,85,5.02,0.0,61.88,2,13,0.9,Support,Day,Breached
EMP_8447,107,75,4.89,4.85,86.13,0,3,8.0,Support,Night,Breached
EMP_3241,176,176,,,,4,3,3.1,Support,Day,Met
EMP_607,105,105,5.53,5.07,76.68,6,4,9.0,Support,Night,Met
EMP_3043,109,109,3.61,9.02,81.14,1,9,6.9,Ads,Night,Met
EMP_8062,95,95,4.36,6.61,77.66,0,4,4.8,Support,Night,Met
EMP_5649,106,106,,,,0,13,7.1,Support,Day,Met
EMP_5154,151,151,5.47,12.33,81.12,3,11,7.1,Ads,Night,Breached
EMP_3063,96,96,5.25,9.86,66.15,1,3,4.1,Ads,Day,Breached
EMP_3972,173,173,8.62,4.99,96.12,8,6,9.9,Ads,Night,Breached
EMP_6412,103,90,,,,4,11,7.5,QA,Night,Met
EMP_2311,140,132,5.45,7.77,76.6,5,5,2.0,Moderation,Day,Met
EMP_7191,110,110,6.26,10.76,78.29,3,1,1.2,QA,Day,Met
EMP_5444,174,165,2.31,4.97,97.51,7,1,3.7,Support,Day,Met
EMP_1958,188,132,7.9,5.06,66.09,4,5,2.6,Support,Day,Breached
EMP_4534,197,108,,,,4,9,7.3,Ads,Night,Breached
EMP_8234,177,73,4.79,8.57,97.37,5,8,9.6,Ads,Day,Breached
EMP_7797,111,111,6.38,4.43,97.95,2,4,8.0,Support,Day,Met
EMP_168,126,99,4.88,3.35,83.24,1,9,9.5,Moderation,Night,Met
EMP_1993,163,163,4.89,10.07,89.75,3,9,7.6,QA,Day,Breached
EMP_7949,132,132,,,,1,4,6.7,Ads,Day,Breached
EMP_77,87,87,,,,0,11,8.3,Support,Day,Met
EMP_1724,189,158,,,,0,4,2.5,Support,Night,Met
EMP_3973,149,149,3.45,5.3,62.03,5,14,7.9,Support,Day,Breached
EMP_6396,114,78,4.57,10.88,90.32,8,10,6.2,Support,Day,Breached
EMP_4697,98,98,2.76,2.79,90.72,6,6,0.8,Moderation,Day,Met
EMP_7829,169,108,4.92,5.84,66.27,7,5,8.8,QA,Night,Breached
EMP_3957,193,137,3.09,2.37,62.87,8,10,6.0,Moderation,Night,Breached
EMP_9164,138,138,6.68,7.45,93.24,5,3,2.4,Moderation,Night,Met
EMP_5823,94,75,6.56,7.28,77.03,3,14,9.3,Moderation,Night,Breached
EMP_3429,193,166,3.64,1.39,91.4,8,9,8.6,Ads,Night,Met
EMP_6290,158,129,8.63,5.82,60.79,5,9,8.1,Ads,Day,Breached
EMP_5955,100,84,5.22,6.07,97.71,5,12,6.8,Ads,Day,Breached
EMP_7172,92,63,,,,6,0,3.5,Support,Night,Breached
EMP_3823,129,129,3.21,3.61,92.89,4,3,1.7,Support,Night,Met
EMP_3449,96,96,7.22,9.62,93.55,3,0,6.0,Moderation,Day,Breached
EMP_5692,142,142,4.87,10.01,90.91,0,4,7.8,Support,Day,Met
EMP_7074,126,73,,,,8,14,4.3,Moderation,Day,Breached
EMP_5567,160,160,6.37,1.52,67.63,1,14,9.2,Moderation,Night,Breached
EMP_4192,199,180,7.56,12.46,74.51,7,6,3.6,Ads,Night,Breached
EMP_4108,158,85,4.88,11.97,71.05,4,13,5.4,Support,Night,Breached
EMP_3791,154,87,3.58,14.88,89.43,5,9,3.2,QA,Day,Breached
EMP_8673,115,115,5.5,2.67,71.03,3,0,7.7,Moderation,Day,Met
EMP_5125,183,104,6.25,14.7,96.87,5,3,2.9,Ads,Day,Breached
EMP_5516,96,96,3.53,1.94,84.18,1,8,3.2,QA,Night,Met
EMP_4182,120,120,7.8,12.27,68.8,9,0,5.0,Ads,Day,Breached
EMP_4984,135,124,8.18,7.43,79.43,6,0,6.5,Support,Night,Breached
EMP_3243,83,83,8.71,1.76,72.51,6,2,1.6,Ads,Day,Breached
EMP_1539,104,104,5.05,6.09,87.01,1,1,8.8,Ads,Night,Met
EMP_7401,89,89,5.26,6.11,78.89,5,8,2.8,QA,Night,Met
EMP_6483,138,138,8.17,1.43,75.7,5,7,8.1,Moderation,Day,Breached
EMP_782,121,121,5.6,7.24,91.6,3,3,3.0,Ads,Night,Met
EMP_7449,151,85,2.31,13.51,96.04,9,2,3.4,Moderation,Night,Breached
EMP_3600,181,164,,,,5,1,7.7,Support,Night,Met
EMP_9813,117,117,8.22,11.03,76.8,3,6,9.8,QA,Night,Breached
EMP_5802,152,152,3.03,9.32,83.57,0,6,6.5,Ads,Day,Met
EMP_9436,198,187,6.8,1.42,88.81,1,14,4.6,QA,Day,Met
EMP_4224,175,163,7.13,1.51,91.03,3,11,1.8,Moderation,Day,Breached
EMP_1418,136,136,3.35,8.23,94.1,6,1,6.2,Moderation,Night,Met
EMP_6610,131,131,4.79,1.33,81.9,6,11,6.6,Ads,Day,Met
EMP_5932,140,69,4.51,6.65,91.56,3,11,4.3,QA,Day,Breached
EMP_8981,101,101,8.45,1.32,70.83,1,2,3.6,Support,Day,Breached
EMP_7843,163,163,7.5,2.52,68.51,0,0,2.4,Moderation,Night,Breached
EMP_9740,150,132,8.39,2.97,78.93,9,4,3.3,Ads,Night,Breached
EMP_5624,101,101,4.7,7.13,80.62,6,2,9.1,Ads,Night,Met
EMP_2451,129,129,6.89,6.26,75.68,4,5,7.3,Moderation,Day,Met
EMP_1430,176,117,4.09,10.14,83.62,9,10,3.4,Ads,Night,Breached
EMP_3092,112,112,2.38,3.96,84.5,0,3,1.8,QA,Night,Met
EMP_4549,121,121,8.8,9.0,63.49,6,9,2.3,QA,Day,Breached
EMP_4161,117,117,2.82,2.9,99.63,4,9,1.9,QA,Day,Met
EMP_4808,157,157,8.65,0.9,92.08,9,11,3.7,Ads,Day,Breached
EMP_1494,185,113,4.78,13.51,63.93,2,10,6.2,Ads,Night,Breached
EMP_7473,172,172,5.28,0.07,62.18,3,10,9.4,QA,Day,Breached
EMP_8252,168,168,7.98,8.98,95.77,0,4,9.4,Moderation,Day,Breached
EMP_6262,115,77,4.17,12.5,71.46,7,2,2.8,Moderation,Night,Breached
EMP_333,168,130,5.79,12.57,82.85,7,7,1.5,Ads,Day,Breached
EMP_3647,137,119,2.22,2.5,97.59,0,7,5.8,Ads,Night,Met
EMP_2028,142,142,6.18,7.3,89.01,8,13,4.4,Ads,Day,Breached
EMP_7465,164,71,5.56,7.25,86.51,5,13,8.9,Support,Night,Breached
EMP_2457,86,61,7.79,4.89,75.49,5,12,8.8,Ads,Day,Breached
EMP_9885,156,133,,,,2,7,5.6,Ads,Night,Met
EMP_3657,173,173,4.89,1.41,97.25,8,6,5.5,Moderation,Night,Met
EMP_6700,118,97,,,,2,5,1.4,Support,Night,Met
EMP_398,99,99,7.11,12.96,65.06,2,10,5.1,QA,Night,Breached
EMP_7096,140,63,8.47,2.19,73.34,3,5,3.2,Moderation,Day,Breached
EMP_9623,92,92,4.84,11.14,81.6,4,0,8.7,Moderation,Night,Met
EMP_3905,145,145,5.53,6.15,92.33,4,1,4.0,Support,Night,Met
EMP_8212,163,147,2.0,1.83,89.05,7,2,1.1,Support,Night,Met
EMP_5046,108,108,5.65,14.08,65.51,9,11,9.5,Support,Day,Breached
EMP_7194,114,106,8.27,12.23,76.52,6,3,8.2,QA,Night,Breached
EMP_443,125,125,7.59,0.02,76.33,2,2,3.4,Ads,Night,Breached
EMP_9309,85,66,5.11,13.12,86.71,5,1,5.4,QA,Night,Met
EMP_8693,117,64,3.57,0.29,97.46,4,6,3.2,Moderation,Day,Breached
EMP_5709,148,133,8.53,0.66,74.31,2,5,5.9,Ads,Day,Breached
EMP_7739,115,100,5.56,10.43,99.96,6,3,6.1,Ads,Night,Met
EMP_1220,177,96,7.9,8.19,96.64,6,8,8.3,Moderation,Night,Breached
EMP_5927,136,83,6.17,2.34,75.44,0,2,5.6,Moderation,Night,Breached
EMP_889,110,110,4.44,0.56,61.45,0,0,7.5,Ads,Day,Breached
EMP_6502,160,160,6.98,13.59,67.85,1,5,9.5,QA,Day,Breached
EMP_5014,92,87,4.96,8.58,78.63,8,3,6.4,Support,Night,Met
EMP_1364,105,105,3.27,5.08,98.7,8,11,3.7,Ads,Day,Breached
EMP_7692,145,133,3.89,10.56,91.05,2,5,0.6,QA,Night,Met
EMP_270,138,94,8.13,6.6,62.39,2,13,2.9,Moderation,Day,Breached
EMP_9624,162,63,5.74,2.3,98.51,6,7,1.9,Ads,Night,Breached
EMP_8793,140,140,4.79,5.58,87.44,1,5,1.3,Moderation,Night,Met
EMP_5823,94,75,6.56,7.28,77.03,3,14,9.3,Moderation,Night,Breached
EMP_7177,157,88,6.01,7.95,60.7,8,13,9.2,Moderation,Day,Breached
EMP_1029,191,61,6.31,6.03,99.71,7,3,3.0,Ads,Night,Breached
EMP_1128,106,106,,,,2,2,8.4,Moderation,Night,Met
EMP_424,109,89,2.92,4.79,99.79,9,8,1.8,Support,Day,Breached
EMP_5759,176,132,6.29,0.13,77.69,2,2,7.9,QA,Day,Breached
EMP_2161,179,179,7.23,9.37,75.26,8,12,2.3,QA,Night,Breached
EMP_683,174,154,3.71,8.45,64.97,9,2,2.3,Support,Day,Breached
EMP_3303,90,90,4.92,10.8,89.39,6,8,1.2,Support,Night,Breached
EMP_6987,193,134,5.64,10.64,90.44,9,8,1.9,Ads,Night,Breached
EMP_4977,81,68,4.01,1.95,75.29,1,10,6.5,Moderation,Day,Met
EMP_4664,167,151,3.32,7.32,93.24,7,9,5.2,Moderation,Day,Breached
EMP_4108,158,85,4.88,11.97,71.05,4,13,5.4,Support,Night,Breached
EMP_3037,81,69,5.07,9.67,83.59,2,5,9.2,Moderation,Day,Met
EMP_885,184,82,6.87,10.5,68.02,0,5,2.4,Moderation,Night,Breached
EMP_2781,150,127,,,,3,13,7.1,Moderation,Day,Met
EMP_5041,96,96,3.14,6.34,90.49,7,9,4.1,Moderation,Night,Breached
EMP_5057,95,95,3.76,10.2,79.7,0,9,5.2,Ads,Day,Met
EMP_4058,96,90,5.5,4.97,86.19,7,9,3.5,Moderation,Day,Breached
EMP_6553,125,125,5.64,7.29,99.59,8,8,4.2,Moderation,Night,Breached
EMP_6316,107,107,4.83,5.9,70.04,0,0,9.4,QA,Night,Met
EMP_5100,87,87,5.04,2.18,85.24,4,10,8.5,Ads,Night,Met
EMP_236,182,153,4.86,7.0,84.9,5,0,5.7,Moderation,Night,Met
EMP_7334,90,90,5.22,12.45,68.65,2,8,2.9,Ads,Night,Breached
EMP_7003,113,113,,,,5,1,2.0,Support,Night,Met
EMP_756,98,94,6.2,3.97,80.69,9,3,6.0,Moderation,Day,Met
EMP_4281,106,106,6.33,6.23,86.54,3,10,9.4,Support,Night,Met
EMP_3676,99,99,4.66,4.89,86.41,0,5,8.1,Ads,Night,Met
EMP_6150,157,64,5.37,14.89,79.83,4,12,6.0,Support,Day,Breached
EMP_4128,109,93,6.71,4.9,73.43,4,9,0.8,Support,Night,Met
EMP_7684,152,124,6.37,5.28,77.62,1,7,9.5,QA,Night,Met
EMP_1790,81,81,,,,0,3,1.9,Ads,Day,Met
EMP_3841,165,60,2.14,5.62,69.35,3,0,7.1,Moderation,Night,Breached
EMP_3402,87,83,3.58,3.55,73.88,2,1,1.3,Ads,Day,Met
EMP_9740,150,132,8.39,2.97,78.93,9,4,3.3,Ads,Night,Breached
EMP_5037,104,104,6.97,8.73,82.9,1,1,8.9,Ads,Night,Met
EMP_9750,94,94,3.7,2.52,70.82,0,4,3.7,Moderation,Day,Met
EMP_8418,119,119,8.35,10.1,79.5,3,4,4.6,Ads,Night,Breached
EMP_4813,172,112,5.55,6.25,70.61,4,11,3.1,Ads,Day,Breached
EMP_9412,88,88,7.28,13.16,94.42,0,4,8.6,QA,Night,Breached
EMP_4718,89,75,7.9,10.49,66.46,2,13,0.7,Support,Night,Breached
EMP_6160,132,76,2.32,1.55,77.52,6,9,7.8,QA,Night,Breached
EMP_4171,199,187,2.96,9.34,71.9,5,4,2.6,Support,Night,Met
EMP_44,94,94,4.8,12.05,95.21,0,8,8.9,Ads,Night,Breached
EMP_6211,175,174,8.34,3.36,77.26,8,14,1.1,Ads,Night,Breached
EMP_5643,176,74,2.43,5.03,62.56,2,9,7.4,QA,Day,Breached
EMP_2,131,131,7.52,12.29,71.05,6,0,1.3,Ads,Day,Breached
EMP_867,124,124,3.64,2.11,84.86,4,9,2.6,Ads,Day,Met
EMP_4281,106,106,6.33,6.23,86.54,3,10,9.4,Support,Night,Met
EMP_6076,112,112,6.24,7.52,96.99,5,6,9.9,Support,Night,Met
EMP_7074,126,73,,,,8,14,4.3,Moderation,Day,Breached
EMP_1852,187,170,3.65,9.83,96.49,5,11,9.8,Ads,Day,Breached
EMP_6678,136,134,5.06,7.21,96.05,5,9,5.2,Moderation,Day,Breached
EMP_7939,91,85,4.64,13.66,93.48,7,4,2.1,Ads,Day,Breached
EMP_9093,143,109,8.89,1.94,87.9,3,13,1.5,QA,Day,Breached
EMP_1370,168,168,2.68,13.46,98.54,0,5,8.9,QA,Night,Met
EMP_4581,121,95,2.86,3.14,61.87,9,2,3.7,Moderation,Day,Breached
EMP_4397,142,115,8.12,0.68,93.9,8,12,8.7,QA,Day,Breached
EMP_7555,147,76,8.39,7.41,90.03,6,0,1.5,Ads,Night,Breached
EMP_3164,145,145,6.21,3.88,91.65,5,7,2.2,Support,Day,Met
EMP_3824,196,88,,,,0,6,3.8,Support,Day,Breached
EMP_432,127,127,4.99,11.59,82.71,3,2,1.0,Support,Night,Met
EMP_4008,105,99,6.33,12.13,85.73,5,1,1.0,QA,Night,Met
EMP_6096,190,126,2.18,6.63,98.99,6,14,1.2,Moderation,Night,Breached
EMP_3642,101,101,2.43,10.71,81.46,1,5,2.2,QA,Day,Met
EMP_3129,195,179,6.5,3.19,64.52,8,5,7.5,Ads,Night,Breached
EMP_4663,141,112,2.34,5.9,72.72,9,0,9.8,QA,Night,Met
EMP_7031,113,62,5.38,0.76,82.19,8,13,1.1,Moderation,Day,Breached
EMP_7045,168,168,,,,6,5,6.3,Ads,Night,Breached
EMP_5536,94,83,7.68,13.28,66.05,3,6,3.8,Moderation,Day,Breached
EMP_2520,110,110,3.14,2.86,90.94,2,7,7.3,Moderation,Day,Met
EMP_8744,116,116,6.02,0.01,75.41,0,10,4.6,QA,Day,Met
EMP_7727,124,76,,,,1,4,5.6,Ads,Day,Breached
EMP_5020,132,72,5.77,13.62,60.89,4,11,8.4,Ads,Day,Breached
EMP_3699,197,125,2.54,2.11,85.73,2,12,4.8,Ads,Night,Breached
EMP_6899,121,121,5.53,1.71,83.26,7,3,9.6,QA,Night,Met
EMP_2888,153,153,5.83,1.2,63.41,1,5,0.5,QA,Night,Breached
EMP_833,133,133,2.72,14.15,60.73,3,2,4.8,Support,Night,Breached
EMP_8867,88,88,5.87,2.1,63.28,2,14,0.6,QA,Day,Breached
EMP_8,100,100,5.06,3.75,66.31,5,13,2.0,Ads,Night,Breached
EMP_1753,97,97,6.09,2.6,80.03,2,10,0.9,Moderation,Day,Met
EMP_9948,92,92,6.04,3.5,70.94,0,1,8.8,Moderation,Night,Met
EMP_8567,196,179,3.34,13.62,82.54,1,3,9.8,Moderation,Day,Met
EMP_496,105,63,3.12,8.38,77.25,2,14,5.7,QA,Day,Breached
EMP_3137,124,78,8.64,5.7,71.79,0,11,2.3,Support,Day,Breached
EMP_7112,81,81,4.61,9.59,84.8,0,9,3.5,Support,Night,Met
EMP_1520,133,132,8.5,13.64,69.39,1,11,7.2,Ads,Day,Breached
EMP_8010,143,143,2.57,8.16,95.22,2,8,6.6,Ads,Night,Met
EMP_6402,133,74,3.97,7.07,61.17,9,1,1.0,Support,Night,Breached
EMP_3420,128,97,3.64,9.24,78.48,8,2,2.0,Support,Night,Met
EMP_2426,169,79,2.22,1.79,62.98,5,1,8.0,Moderation,Night,Breached
EMP_9895,131,116,5.86,7.64,79.73,5,2,4.5,Moderation,Day,Met
EMP_2461,83,76,3.88,3.59,94.6,2,12,7.8,Moderation,Night,Met
EMP_2014,152,152,4.82,1.58,73.95,6,7,1.1,Support,Night,Met
EMP_3408,191,161,3.87,0.29,98.74,5,4,0.5,Moderation,Day,Met
EMP_988,180,163,8.28,12.8,91.04,9,11,8.9,Ads,Night,Breached
EMP_2958,160,160,6.47,9.69,90.58,9,9,6.8,Ads,Night,Breached
EMP_5362,120,80,4.04,10.31,79.29,8,0,8.8,Support,Night,Breached
EMP_1228,132,132,2.76,10.56,93.52,6,9,5.8,Moderation,Day,Breached
EMP_5231,147,146,,,,4,1,2.4,Moderation,Night,Breached
EMP_5646,132,132,3.37,11.5,85.54,6,2,4.4,Moderation,Night,Met
EMP_8908,135,135,6.53,4.86,70.67,4,5,7.5,QA,Night,Met
EMP_2794,112,94,4.83,5.83,64.34,5,3,4.5,Support,Night,Breached
EMP_6432,108,108,6.91,1.6,73.05,5,2,7.5,Support,Night,Met
EMP_1508,80,80,3.72,3.19,94.24,6,4,9.8,Ads,Day,Met
EMP_6836,198,191,2.08,5.03,77.47,4,3,2.4,Support,Night,Met
EMP_2053,169,147,2.52,10.94,89.71,2,1,1.7,Support,Night,Met
EMP_9416,149,107,4.1,8.49,83.02,2,0,5.7,Ads,Night,Breached
EMP_6461,121,121,5.0,1.0,71.62,2,9,4.0,QA,Day,Met
EMP_2208,162,135,5.66,9.35,97.29,5,0,8.4,Moderation,Night,Met
EMP_5506,153,87,6.95,5.25,80.59,5,3,5.3,Ads,Day,Breached
EMP_9953,172,144,3.31,8.8,82.44,0,5,3.6,Moderation,Night,Met
EMP_1027,136,61,,,,8,5,9.2,Support,Day,Breached
EMP_7951,159,128,,,,5,10,2.1,QA,Night,Breached
EMP_2882,168,110,7.55,7.7,77.51,4,11,6.4,Moderation,Day,Breached
EMP_1536,114,114,3.21,9.31,71.06,6,3,8.4,Ads,Day,Met
EMP_5183,154,154,2.61,2.12,99.68,2,12,9.8,Moderation,Night,Met
EMP_4210,99,70,3.45,12.09,62.46,4,12,0.7,Moderation,Day,Breached
EMP_3650,110,81,7.67,7.12,86.63,9,1,0.9,QA,Day,Breached
EMP_4910,162,139,5.82,9.73,76.29,5,2,9.7,Moderation,Day,Met
EMP_3260,141,141,,,,2,1,2.7,QA,Night,Met
EMP_4340,90,90,4.3,7.59,71.71,2,8,5.9,Moderation,Day,Met
EMP_3783,112,112,4.0,3.07,84.45,1,14,2.3,Ads,Night,Met
EMP_648,199,111,5.47,9.56,75.9,9,1,5.9,Ads,Day,Breached
EMP_9634,107,107,6.58,5.69,72.45,8,5,9.4,QA,Night,Met
EMP_6325,182,69,7.27,9.93,92.85,6,4,4.8,Ads,Day,Breached
EMP_6999,198,170,5.72,7.4,94.19,5,2,4.5,Moderation,Day,Met
EMP_6932,100,100,,,,6,6,9.0,Moderation,Day,Met
EMP_4818,96,69,3.11,4.5,68.02,4,7,4.0,Ads,Day,Breached
EMP_978,85,85,,,,8,7,8.5,Moderation,Night,Met
EMP_9818,138,138,,,,4,0,5.9,Ads,Night,Breached
EMP_7871,92,92,6.31,14.52,78.81,5,13,7.7,Support,Night,Breached
EMP_533,128,128,,,,2,4,0.6,Support,Day,Met
EMP_3823,129,129,3.21,3.61,92.89,4,3,1.7,Support,Night,Met
EMP_5630,157,157,2.79,1.36,93.72,1,5,4.1,Support,Day,Met
EMP_4392,194,107,8.77,10.06,79.85,9,9,7.4,Ads,Night,Breached
EMP_7068,84,84,4.99,4.77,83.71,0,3,1.6,Support,Day,Met
EMP_9062,91,91,,,,7,3,0.8,Support,Night,Met
EMP_3637,98,98,7.16,7.21,61.74,3,2,8.1,QA,Day,Breached
EMP_3888,94,94,2.92,4.84,99.54,9,12,5.7,QA,Night,Breached
EMP_2363,196,190,7.62,5.16,95.86,6,12,2.0,Support,Night,Breached
EMP_680,108,108,5.29,14.64,67.8,2,6,9.5,QA,Day,Breached
EMP_159,178,98,,,,0,5,2.6,QA,Day,Breached
EMP_4438,141,141,3.75,0.53,87.55,3,3,9.2,QA,Night,Met
EMP_3797,100,100,6.69,8.66,90.13,7,6,1.6,Moderation,Night,Breached
EMP_2183,179,84,4.62,12.98,94.54,6,7,0.6,Support,Night,Breached
EMP_1650,151,151,5.68,6.48,83.41,8,5,2.5,Support,Day,Met
EMP_9247,106,106,5.31,11.65,80.09,1,0,8.8,Moderation,Day,Met
EMP_8831,196,115,5.49,5.79,62.93,6,2,1.1,Ads,Night,Breached
EMP_7174,117,88,6.27,6.61,77.28,3,12,2.5,Support,Night,Breached
EMP_6434,122,119,4.84,5.03,92.91,0,12,2.8,Ads,Night,Met
EMP_9506,117,117,5.63,10.17,78.72,6,9,9.2,Ads,Day,Breached
EMP_3956,106,106,5.53,2.88,71.75,0,7,4.4,Moderation,Night,Met
